restaurantname,pricerange,area,food,phone,addr,postcode,food_quality,crowdedness,stay_length
saint johns chop house,moderate,west,british,01223 353110,21 - 24 northampton street,c.b 3,bad,busy,long
restaurant alimentum,moderate,north,modern european,01223 413000,152 - 154 hills road,c.b 2,decent,not busy,long
pizza hut cherry hinton,moderate,south,italian,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1,good,busy,long
the gardenia,moderate,west,romanian,01223 356354,2 rose crescent city centre,c.b 2,decent,not busy,short
loch fyne,moderate,centre,seafood,01223 362433,the little rose 37 trumpington street,c.b 2,decent,busy,long
yu garden,expensive,east,chinese,01223 248882,529 newmarket road fen ditton,c.b 5,decent,not busy,normal
sitar tandoori,expensive,east,steakhouse,01223 249955,43 high street cherry hinton cherry hinton,c.b 1,good,not busy,normal
saigon city,expensive,north,asian oriental,01223 356555,169 high street chesterton chesterton,c.b 4,bad,busy,normal
restaurant two two,expensive,north,french,01223 351880,22 chesterton road chesterton,c.b 4,decent,busy,short
the hotpot,expensive,north,chinese,01223 366552,66 chesterton road chesterton,c.b 4,decent,busy,short
nandos,cheap,south,portuguese,01223 327908,cambridge leisure park clifton way,c.b 1,good,busy,long
peking restaurant,expensive,south,chinese,01223 354755,10 homerton street city centre,c.b 2,good,busy,short
rajmahal,moderate,east,indian,01223 244955,7 barnwell road fen ditton,c.b 5,bad,busy,short
pizza hut fen ditton,moderate,east,italian,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5,good,not busy,normal
the missing sock,cheap,south,chinese,01223 812660,finders corner newmarket road,c.b 25,decent,busy,short
royal standard,expensive,east,spanish,01223 247877,290 mill road city centre,c.b 1,bad,busy,normal
grafton hotel restaurant,expensive,east,british,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5,bad,not busy,short
dojo noodle bar,expensive,centre,asian oriental,01223 363471,40210 millers yard city centre,c.b 2,decent,busy,normal
cambridge lodge restaurant,expensive,west,european,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3,decent,busy,short
thanh binh,cheap,west,vietnamese,01223 362456,17 magdalene street city centre,c.b 3,bad,busy,short
stazione restaurant and coffee bar,expensive,centre,korean,01223 352607,market hill city centre,,decent,busy,short
cote,expensive,centre,french,01223 311053,bridge street city centre,c.b 2,good,not busy,long
cotto,moderate,centre,british,01223 302010,183 east road city centre,c.b 1,decent,not busy,short
bangkok city,expensive,centre,thai,01223 354382,24 green street city centre,c.b 2,bad,not busy,short
frankie and bennys,expensive,south,italian,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1,decent,not busy,short
the cow pizza kitchen and bar,moderate,centre,moroccan,01223 308871,corn exchange street,c.b 2,decent,busy,long
eraina,expensive,centre,european,01223 368786,free school lane city centre,c.b 2,good,busy,long
curry garden,expensive,centre,asian oriental,01223 302330,106 regent street city centre,,decent,busy,short
mahal of cambridge,cheap,centre,indian,01223 360409,3 - 5 millers yard mill lane,,bad,not busy,normal
golden wok,moderate,north,asian oriental,01223 350688,191 histon road chesterton,c.b 4,decent,busy,long
meghna,moderate,north,indian,01223 727410,205 victoria road chesterton,c.b 4,good,busy,normal
the nirala,moderate,north,indian,01223 360966,7 milton road chesterton,c.b 4,decent,busy,normal
michaelhouse cafe,expensive,centre,european,01223 309147,st. michael's church trinity street city centre,c.b 2,bad,busy,normal
efes restaurant,moderate,centre,swiss,01223 500005,king street city centre,c.b 1,decent,not busy,long
chiquito restaurant bar,expensive,south,european,01223 400170,2g cambridge leisure park cherry hinton road cherry hinton,c.b 1,decent,not busy,normal
caffe uno,expensive,centre,italian,01223 448620,32 bridge street city centre,,bad,not busy,short
j restaurant,cheap,centre,fusion,01223 307581,86 regent street city centre,c.b 2,decent,busy,short
la margherita,cheap,south,italian,01223 315232,15 magdalene street city centre,c.b 3,bad,busy,normal
cocum,expensive,east,gastropub,01223 366668,71 castle street city centre,c.b 3,good,busy,long
city stop restaurant,expensive,north,tuscan,01223 363270,cambridge city football club milton road chesterton,,good,busy,normal
sala thong,expensive,west,thai,01223 323178,35 newnham road newnham,c.b 3,bad,busy,short
don pasquale pizzeria,expensive,south,european,01223 350106,12 market hill city centre,,decent,not busy,short
little seoul,expensive,centre,korean,01223 308681,108 regent street city centre,c.b 2,decent,not busy,long
rice house,cheap,south,chinese,01223 367755,88 mill road city centre,,good,busy,normal
the river bar steakhouse and grill,cheap,centre,modern european,01223 307030,quayside off bridge street,c.b 5,decent,not busy,short
nandos city centre,cheap,centre,portuguese,01223 327908,33-34 saint andrews street,c.b 2,good,not busy,normal
prezzo,moderate,west,italian,01799 521260,21 - 24 northampton road,c.b 3,good,busy,short
galleria,moderate,centre,european,01223 362054,33 bridge street,c.b 2,decent,busy,long
bloomsbury restaurant,moderate,north,international,0871 942 9180,crowne plaza hotel 20 downing street,c.b 2,bad,busy,short
the good luck chinese food takeaway,expensive,south,chinese,01223 244149,82 cherry hinton road cherry hinton,c.b 1,good,not busy,short
the varsity restaurant,moderate,centre,international,01223 356060,35 saint andrews street city centre,c.b 2,decent,busy,normal
de luca cucina and bar,moderate,centre,modern european,01223 356666,83 regent street,c.b 2,decent,not busy,normal
da vinci pizzeria,cheap,north,traditional,01223 351707,20 milton road chesterton,c.b 4,bad,busy,short
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2,decent,not busy,normal
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,bad,busy,short
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,decent,busy,long
ask,cheap,centre,seafood,01223 364917,12 bridge street city centre,c.b 2,bad,busy,normal
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,bad,not busy,short
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4,decent,not busy,long
yippee noodle bar,moderate,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1,good,not busy,normal
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,,good,busy,short
maharajah tandoori restaurant,expensive,east,indian,01223 358399,41518 castle street city centre,c.b 3,good,not busy,short
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,,bad,busy,long
curry prince,expensive,east,indian,01223 566388,451 newmarket road fen ditton,c.b 5,bad,not busy,short
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,decent,busy,normal
kymmoy,expensive,centre,asian oriental,01223 311911,52 mill road city centre,c.b 1,decent,not busy,normal
golden house,cheap,centre,polynesian,01842 753771,12 lensfield road city centre,,good,busy,normal
bedouin,expensive,centre,african,01223 367660,100 mill road city centre,c.b 1,decent,not busy,normal
